"Code1";"Code2";"Code3";"Code_all";"Name_School"
"010";"01";"001";"01001001";"СОШ № 1"
"010";"01";"002";"01001002";"МОУ СОШ № 2"
"010";"01";"003";"01001003";"МОУ СОШ № 3"
"010";"01";"005";"01001005";"МОУ гимназия № 5"
"010";"01";"006";"01001006";"МОУ СОШ № 6"
"010";"01";"007";"01001007";"МОУ СОШ № 7"
"010";"01";"008";"01001008";"МОУ Лицей № 8"
"010";"01";"009";"01001009";"МОУ СОШ № 9"
"010";"01";"010";"01001010";"МОУ СОШ № 10"
"010";"01";"011";"01001011";"СОШ № 11"
"010";"01";"013";"01001013";"СОШ № 13"
"010";"01";"014";"01001014";"СОШ № 14"
"010";"01";"015";"01001015";"МОУ СОШ № 15"
"010";"01";"017";"01001017";"МОУ СОШ № 17"
"010";"01";"018";"01001018";"МОУ СОШ № 18"
"010";"01";"020";"01001020";"ООШ № 20"
"010";"01";"023";"01001023";"МОУ СОШ № 23 им. А.П. Антонова"
"010";"01";"024";"01001024";"СОШ № 24"
"010";"01";"025";"01001025";"СОШ № 25"
"010";"01";"027";"01001027";"МОУ СОШ № 27"
"010";"01";"028";"01001028";"МОУ СОШ № 28"
"010";"01";"901";"01001901";"ГОУ АРГ"
"010";"01";"902";"01001902";"ЦИРР при АГУ"
"010";"01";"904";"01001904";"Майкопская НОШ № 4"
"010";"01";"919";"01001919";"МОУ Лицей № 19"
"010";"01";"922";"01001922";"МОУ Гимназия № 22"
"010";"01";"929";"01001929";"НОШ № 29"
"010";"01";"930";"01001930";"НОШ № 30"
"010";"01";"933";"01001933";"НОШ № 33"
"010";"01";"934";"01001934";"Лицей № 34"
"010";"01";"935";"01001935";"МОУ Лицей № 35"
"010";"01";"936";"01001936";"НОУ Православная гимназия"
"010";"02";"001";"01002001";"СОШ № 1"
"010";"02";"002";"01002002";"СОШ № 2"
"010";"02";"003";"01002003";"СОШ № 3"
"010";"02";"004";"01002004";"СОШ № 4"
"010";"02";"005";"01002005";"СОШ № 5"
"010";"02";"006";"01002006";"СОШ № 6"
"010";"02";"008";"01002008";"СОШ № 8"
"010";"02";"009";"01002009";"СОШ № 9"
"010";"02";"010";"01002010";"СОШ № 10"
"010";"02";"011";"01002011";"СОШ № 11"
"010";"02";"012";"01002012";"СОШ № 12"
"010";"02";"013";"01002013";"СОШ № 13"
"010";"02";"014";"01002014";"ООШ № 14"
"010";"02";"015";"01002015";"СОШ № 15"
"010";"02";"016";"01002016";"СОШ № 16"
"010";"02";"017";"01002017";"СОШ № 17"
"010";"02";"019";"01002019";"СОШ № 19"
"010";"02";"020";"01002020";"СОШ № 20"
"010";"02";"021";"01002021";"СОШ № 21"
"010";"02";"022";"01002022";"СОШ № 22"
"010";"02";"023";"01002023";"СОШ № 23"
"010";"02";"026";"01002026";"ООШ № 26"
"010";"02";"028";"01002028";"СОШ № 28"
"010";"02";"933";"01002933";"НОШ № 33"
"010";"03";"001";"01003001";"СОШ № 1"
"010";"03";"002";"01003002";"СОШ № 2"
"010";"03";"003";"01003003";"СОШ № 3"
"010";"03";"004";"01003004";"СОШ № 4"
"010";"03";"005";"01003005";"СОШ № 5"
"010";"03";"006";"01003006";"СОШ № 6"
"010";"03";"007";"01003007";"СОШ № 7"
"010";"03";"008";"01003008";"СОШ № 8"
"010";"03";"009";"01003009";"СОШ № 9"
"010";"03";"010";"01003010";"СОШ № 10"
"010";"03";"011";"01003011";"СОШ № 11"
"010";"03";"012";"01003012";"СОШ № 12"
"010";"04";"001";"01004001";"СОШ № 1"
"010";"04";"002";"01004002";"СОШ № 2"
"010";"04";"003";"01004003";"СОШ № 3"
"010";"04";"004";"01004004";"СОШ № 4"
"010";"04";"006";"01004006";"СОШ № 6"
"010";"04";"008";"01004008";"СОШ № 8"
"010";"04";"009";"01004009";"СОШ № 9"
"010";"04";"010";"01004010";"СОШ № 10"
"010";"04";"011";"01004011";"СОШ № 11"
"010";"04";"012";"01004012";"СОШ № 12"
"010";"04";"013";"01004013";"СОШ № 13"
"010";"05";"002";"01005002";"СОШ № 2"
"010";"05";"003";"01005003";"СОШ № 3"
"010";"05";"004";"01005004";"СОШ № 4"
"010";"05";"005";"01005005";"СОШ № 5"
"010";"05";"006";"01005006";"СОШ № 6"
"010";"05";"007";"01005007";"СОШ № 7"
"010";"05";"008";"01005008";"СОШ № 8"
"010";"05";"009";"01005009";"СОШ № 9"
"010";"05";"010";"01005010";"СОШ № 10"
"010";"05";"011";"01005011";"СОШ № 11"
"010";"05";"012";"01005012";"СОШ № 12"
"010";"05";"013";"01005013";"СОШ № 13"
"010";"05";"014";"01005014";"ООШ № 14"
"010";"05";"015";"01005015";"СОШ № 15"
"010";"05";"901";"01005901";"Гимназия № 1"
"010";"06";"001";"01006001";"СОШ № 1"
"010";"06";"002";"01006002";"СОШ № 2"
"010";"06";"003";"01006003";"СОШ № 3"
"010";"06";"004";"01006004";"СОШ № 4"
"010";"06";"006";"01006006";"СОШ № 6"
"010";"06";"007";"01006007";"СОШ № 7"
"010";"06";"008";"01006008";"СОШ № 8"
"010";"06";"009";"01006009";"СОШ № 9"
"010";"06";"010";"01006010";"СОШ № 10"
"010";"06";"011";"01006011";"СОШ № 11"
"010";"06";"012";"01006012";"СОШ № 12"
"010";"06";"013";"01006013";"СОШ № 13"
"010";"06";"014";"01006014";"СОШ № 14"
"010";"06";"015";"01006015";"СОШ № 15"
"010";"06";"016";"01006016";"СОШ № 16"
"010";"06";"017";"01006017";"СОШ № 17"
"010";"06";"019";"01006019";"СОШ № 19"
"010";"06";"020";"01006020";"СОШ № 20"
"010";"06";"024";"01006024";"СОШ № 24"
"010";"06";"025";"01006025";"СОШ № 25"
"010";"07";"001";"01007001";"СОШ № 1"
"010";"07";"002";"01007002";"СОШ № 2"
"010";"07";"003";"01007003";"СОШ № 3"
"010";"07";"004";"01007004";"СОШ № 4"
"010";"07";"906";"01007906";"НОШ № 6"
"010";"08";"001";"01008001";"СОШ № 1"
"010";"08";"002";"01008002";"СОШ № 2"
"010";"08";"003";"01008003";"СОШ № 3"
"010";"08";"004";"01008004";"СОШ № 4"
"010";"08";"005";"01008005";"СОШ № 5"
"010";"08";"006";"01008006";"СОШ № 6"
"010";"08";"007";"01008007";"СОШ № 7"
"010";"08";"008";"01008008";"СОШ № 8"
"010";"08";"009";"01008009";"СОШ № 9"
"010";"08";"010";"01008010";"СОШ № 10"
"010";"08";"011";"01008011";"СОШ № 11"
"010";"08";"012";"01008012";"ООШ № 12"
"010";"08";"014";"01008014";"ООШ № 14"
"010";"08";"015";"01008015";"ООШ № 15"
"010";"08";"016";"01008016";"ООШ № 16"
"010";"08";"918";"01008918";"НОШ № 18"
"010";"09";"001";"01009001";"СОШ № 1"
"010";"09";"002";"01009002";"СОШ № 2"
"010";"09";"003";"01009003";"СОШ № 3"
"010";"09";"004";"01009004";"СОШ № 4"
"010";"09";"005";"01009005";"СОШ № 5"
"010";"09";"006";"01009006";"СОШ № 6"
"010";"09";"007";"01009007";"СОШ № 7"
"010";"09";"008";"01009008";"СОШ № 8"
"010";"09";"009";"01009009";"СОШ № 9"
"010";"09";"010";"01009010";"СОШ № 10"
"010";"09";"011";"01009011";"СОШ № 11"
"010";"09";"012";"01009012";"ООШ № 12"
"010";"09";"013";"01009013";"ООШ № 13"
"020";"01";"001";"02001001";"МОУ СОШ № 1"
"020";"01";"002";"02001002";"МОУ Лицей № 2"
"020";"01";"003";"02001003";"МОУ Гимназия № 3"
"020";"01";"004";"02001004";"МОУ СОШ № 4"
"020";"01";"005";"02001005";"МОУ Лицей № 5"
"020";"01";"006";"02001006";"МОУ Лицей № 6"
"020";"01";"007";"02001007";"МОУ СОШ № 7"
"020";"01";"008";"02001008";"МОУ СОШ № 8"
"020";"01";"009";"02001009";"МОУ СОШ № 9"
"020";"01";"011";"02001011";"МОУ Гимназия № 11"
"020";"01";"014";"02001014";"МБОУ СОШ № 14"
"020";"01";"015";"02001015";"МБОУ СОШ № 15"
"020";"01";"016";"02001016";"МАОУ Гимназия № 16"
"020";"01";"018";"02001018";"МБОУ СОШ № 18"
"020";"01";"019";"02001019";"ЦО № 19"
"020";"01";"020";"02001020";"МОУ Гимназия № 20"
"020";"01";"021";"02001021";"Лицей № 21"
"020";"01";"022";"02001022";"МБОУ СОШ № 22"
"020";"01";"023";"02001023";"МОБУ СОШ № 23"
"020";"01";"024";"02001024";"МОУ СОШ № 24"
"020";"01";"025";"02001025";"МОУ СОШ № 25"
"020";"01";"026";"02001026";"МОУ СОШ № 26"
"020";"01";"027";"02001027";"МБОУ СОШ № 27"
"020";"01";"029";"02001029";"МОУ СОШ № 29"
"020";"01";"034";"02001034";"МБОУ СОШ № 34"
"020";"01";"035";"02001035";"МОУ СОШ № 35"
"020";"01";"036";"02001036";"МОУ СОШ № 36"
"020";"01";"037";"02001037";"МОУ СОШ № 37"
"020";"01";"038";"02001038";"МОУ СОШ № 38"
"020";"01";"039";"02001039";"МОУ Гимназия № 39"
