code1;code2;code3;Code_all;Name_School;Name_Oblast;Name_Region
010;01;002;01001002;МОУ СОШ № 2;г. Майкоп;Республика Адыгея
010;01;003;01001003;МОУ СОШ № 3;г. Майкоп;Республика Адыгея
010;01;005;01001005;МОУ гимназия № 5;г. Майкоп;Республика Адыгея
010;01;006;01001006;МОУ СОШ № 6;г. Майкоп;Республика Адыгея
010;01;007;01001007;МОУ СОШ № 7;г. Майкоп;Республика Адыгея
010;01;008;01001008;МОУ Лицей № 8;г. Майкоп;Республика Адыгея
010;01;009;01001009;МОУ СОШ № 9;г. Майкоп;Республика Адыгея
010;01;010;01001010;МОУ СОШ № 10;г. Майкоп;Республика Адыгея
010;01;011;01001011;СОШ № 11;г. Майкоп;Республика Адыгея
010;01;015;01001015;МОУ СОШ № 15;г. Майкоп;Республика Адыгея
010;01;017;01001017;МОУ СОШ № 17;г. Майкоп;Республика Адыгея
010;01;018;01001018;МОУ СОШ № 18;г. Майкоп;Республика Адыгея
010;01;023;01001023;МОУ СОШ № 23 им. А.П. Антонова;г. Майкоп;Республика Адыгея
010;01;027;01001027;МОУ СОШ № 27;г. Майкоп;Республика Адыгея
010;01;028;01001028;МОУ СОШ № 28;г. Майкоп;Республика Адыгея
010;01;919;01001919;МОУ Лицей № 19;г. Майкоп;Республика Адыгея
010;01;922;01001922;МОУ Гимназия № 22;г. Майкоп;Республика Адыгея
010;01;933;01001933;НОШ № 33;г. Майкоп;Республика Адыгея
010;01;934;01001934;Лицей № 34;г. Майкоп;Республика Адыгея
010;01;935;01001935;МОУ Лицей № 35;г. Майкоп;Республика Адыгея
010;09;009;01009009;СОШ № 9;Кошехабльский район;Республика Адыгея
020;01;001;02001001;МОУ СОШ № 1;Уфа;Республика Башкортостан
020;01;004;02001004;МБОУ СОШ № 4;Уфа;Республика Башкортостан
020;01;007;02001007;МОУ СОШ № 7;Уфа;Республика Башкортостан
020;01;011;02001011;МБОУ Аксаковская гимназия № 11;Уфа;Республика Башкортостан
020;01;014;02001014;МБОУ СОШ № 14;Уфа;Республика Башкортостан
020;01;015;02001015;МБОУ СОШ № 15;Уфа;Республика Башкортостан
020;01;016;02001016;МАОУ Гимназия № 16;Уфа;Республика Башкортостан
020;01;018;02001018;МБОУ СОШ № 18;Уфа;Республика Башкортостан
020;01;020;02001020;МОУ Гимназия № 20;Уфа;Республика Башкортостан
020;01;026;02001026;МОУ СОШ № 26;Уфа;Республика Башкортостан
020;01;027;02001027;МБОУ СОШ № 27;Уфа;Республика Башкортостан
020;01;034;02001034;МБОУ СОШ № 34;Уфа;Республика Башкортостан
020;01;035;02001035;МОУ СОШ № 35;Уфа;Республика Башкортостан
020;01;037;02001037;МОУ СОШ № 37;Уфа;Республика Башкортостан
020;01;038;02001038;МОУ СОШ № 38;Уфа;Республика Башкортостан
020;01;044;02001044;МАОУ СОШ № 44;Уфа;Республика Башкортостан
020;01;046;02001046;МАОУ СОШ № 46;Уфа;Республика Башкортостан
020;01;053;02001053;МОУ CОШ № 53;Уфа;Республика Башкортостан
020;01;055;02001055;МОУ СОШ № 55;Уфа;Республика Башкортостан
020;01;062;02001062;МОУ Лицей № 62;Уфа;Республика Башкортостан
020;01;064;02001064;МБОУ Гимназия № 64;Уфа;Республика Башкортостан
020;01;065;02001065;МОУ Татарская гимназия № 65;Уфа;Республика Башкортостан
020;01;068;02001068;МБОУ Лицей № 68;Уфа;Республика Башкортостан
020;01;069;02001069;МОУ СОШ № 69;Уфа;Республика Башкортостан
020;01;070;02001070;МОУ СОШ № 70;Уфа;Республика Башкортостан
020;01;071;02001071;МОУ СОШ № 71;Уфа;Республика Башкортостан
020;01;074;02001074;МОУ СОШ № 74;Уфа;Республика Башкортостан
020;01;082;02001082;МОУ Гимназия № 82;Уфа;Республика Башкортостан
020;01;083;02001083;МОУ Лицей № 83;Уфа;Республика Башкортостан
020;01;084;02001084;МОУ Татарская гимназия № 84;Уфа;Республика Башкортостан
020;01;085;02001085;МБОУ СОШ № 85;Уфа;Республика Башкортостан
020;01;091;02001091;МАОУ Гимназия № 91;Уфа;Республика Башкортостан
020;01;094;02001094;МБОУ Лицей № 94;Уфа;Республика Башкортостан
020;01;096;02001096;МОУ Лицей № 96;Уфа;Республика Башкортостан
020;01;103;02001103;МБОУ СОШ № 103;Уфа;Республика Башкортостан
020;01;104;02001104;МОУ СОШ № 104;Уфа;Республика Башкортостан
020;01;106;02001106;"МОУ Лицей ""Содружество"" (№ 106)";Уфа;Республика Башкортостан
020;01;108;02001108;МБОУ СОШ № 108;Уфа;Республика Башкортостан
020;01;111;02001111;МОУ Гимназия № 111;Уфа;Республика Башкортостан
020;01;115;02001115;МОУ Гимназия  № 115;Уфа;Республика Башкортостан
020;01;116;02001116;МОУ СОШ № 116;Уфа;Республика Башкортостан
020;01;118;02001118;МОУ СОШ № 118;Уфа;Республика Башкортостан
020;01;119;02001119;МБОУ СОШ № 119;Уфа;Республика Башкортостан
020;01;121;02001121;МОУ Гимназия № 121;Уфа;Республика Башкортостан
020;01;123;02001123;МБОУ Лицей № 123;Уфа;Республика Башкортостан
020;01;128;02001128;МОУ СОШ № 128;Уфа;Республика Башкортостан
020;01;137;02001137;МБОУ СОШ № 137;Уфа;Республика Башкортостан
020;01;141;02001141;МОУ СОШ № 141;Уфа;Республика Башкортостан
020;01;147;02001147;МБОУ СОШ № 147;Уфа;Республика Башкортостан
020;01;155;02001155;МАОУ Лицей № 155;Уфа;Республика Башкортостан
020;01;158;02001158;МБОУ Башкирская гимназия № 158 им. Мустая Карима;Уфа;Республика Башкортостан
020;01;906;02001906;ГОУ РХГИ им. К.А. Давлеткильдеева;Уфа;Республика Башкортостан
020;01;918;02001918;;Уфа;Республика Башкортостан
020;02;001;02002001;МОБУ СОШ № 1;Агидель;Республика Башкортостан
020;02;901;02002901;МОБУ Башкирская гимназия;Агидель;Республика Башкортостан
020;03;901;02003901;МОБУ Баймакский лицей-интернат;Баймак и Баймакский район;Республика Башкортостан
020;03;946;02003946;МОБУ СОШ с. Ургаза;Баймак и Баймакский район;Республика Башкортостан
020;04;001;02004001;МАОУ СОШ № 1;Белебей и Белебеевский район;Республика Башкортостан
020;04;008;02004008;МОУ СОШ № 8;Белебей и Белебеевский район;Республика Башкортостан
020;04;017;02004017;МАОУ СОШ № 17;Белебей и Белебеевский район;Республика Башкортостан
020;04;901;02004901;МАОУ Гимназия № 1;Белебей и Белебеевский район;Республика Башкортостан
020;04;903;02004903;Татарская гимназия;Белебей и Белебеевский район;Республика Башкортостан
020;04;908;02004908;МАОУ СОШ № 4 п. Приютово;Белебей и Белебеевский район;Республика Башкортостан
020;04;914;02004914;МАОУ СОШ с. Знаменка;Белебей и Белебеевский район;Республика Башкортостан
020;04;928;02004928;МБОУ СОШ с. Санаторий Глуховская;Белебей и Белебеевский район;Республика Башкортостан
020;04;929;02004929;СОШ с. ЦУП им. М. Горького;Белебей и Белебеевский район;Республика Башкортостан
020;04;932;02004932;МБОУ СОШ с. Усень-Ивановское;Белебей и Белебеевский район;Республика Башкортостан
020;06;003;02006003;МБОУ СОШ № 3;Бирск и Бирский район;Республика Башкортостан
020;06;007;02006007;МБОУ СОШ № 7 г. Бирск;Бирск и Бирский район;Республика Башкортостан
020;06;008;02006008;МБОУ СОШ № 8;Бирск и Бирский район;Республика Башкортостан
020;06;009;02006009;МБОУ СОШ № 9 г. Бирск;Бирск и Бирский район;Республика Башкортостан
020;06;901;02006901;МБОУ Лицей № 1;Бирск и Бирский район;Республика Башкортостан
020;06;907;02006907;МБОУ СОШ с. Старобурново;Бирск и Бирский район;Республика Башкортостан
020;06;916;02006916;МБУ СОШ с. Силантьево;Бирск и Бирский район;Республика Башкортостан
020;06;917;02006917;МБОУ СОШ с. Старобазаново;Бирск и Бирский район;Республика Башкортостан
020;06;920;02006920;МБОУ СОШ с. Суслово;Бирск и Бирский район;Республика Башкортостан
020;06;921;02006921;МБОУ СОШ с. Чишма;Бирск и Бирский район;Республика Башкортостан
